iter	workload	lang	op	comp	num	payload_bytes	file_size	wall
1	small	cpp	write	zstd	200000	20000000	4483223	0.056477
1	small	cpp	read	zstd	200000	20000000	0	0.019502
2	small	cpp	write	zstd	200000	20000000	4483223	0.057747
2	small	cpp	read	zstd	200000	20000000	0	0.018263
3	small	cpp	write	zstd	200000	20000000	4483223	0.060238
3	small	cpp	read	zstd	200000	20000000	0	0.018210
1	small	rust	write	zstd	200000	20000000	4439173	0.101507
1	small	rust	read	zstd	200000	20000000	0	0.061495
2	small	rust	write	zstd	200000	20000000	4439173	0.103327
2	small	rust	read	zstd	200000	20000000	0	0.060334
3	small	rust	write	zstd	200000	20000000	4439173	0.104615
3	small	rust	read	zstd	200000	20000000	0	0.060788
1	small	go	write	zstd	200000	20000000	4572225	0.060985
1	small	go	read	zstd	200000	20000000	0	0.017815
2	small	go	write	zstd	200000	20000000	4572225	0.060185
2	small	go	read	zstd	200000	20000000	0	0.018038
3	small	go	write	zstd	200000	20000000	4572225	0.061208
3	small	go	read	zstd	200000	20000000	0	0.017979
1	small	python	write	zstd	200000	20000000	4439244	0.451128
1	small	python	read	zstd	200000	20000000	0	1.036138
2	small	python	write	zstd	200000	20000000	4439244	0.447983
2	small	python	read	zstd	200000	20000000	0	1.033066
3	small	python	write	zstd	200000	20000000	4439244	0.445162
3	small	python	read	zstd	200000	20000000	0	1.030906
1	small	cpp	write	none	200000	20000000	29401428	0.042376
1	small	cpp	read	none	200000	20000000	0	0.015857
2	small	cpp	write	none	200000	20000000	29401428	0.075346
2	small	cpp	read	none	200000	20000000	0	0.015800
3	small	cpp	write	none	200000	20000000	29401428	0.068052
3	small	cpp	read	none	200000	20000000	0	0.015834
1	small	rust	write	none	200000	20000000	29401439	0.060997
1	small	rust	read	none	200000	20000000	0	0.024746
2	small	rust	write	none	200000	20000000	29401439	0.065345
2	small	rust	read	none	200000	20000000	0	0.024855
3	small	rust	write	none	200000	20000000	29401439	0.060456
3	small	rust	read	none	200000	20000000	0	0.024079
1	small	go	write	none	200000	20000000	29401443	0.028494
1	small	go	read	none	200000	20000000	0	0.017370
2	small	go	write	none	200000	20000000	29401443	0.027190
2	small	go	read	none	200000	20000000	0	0.018643
3	small	go	write	none	200000	20000000	29401443	0.026362
3	small	go	read	none	200000	20000000	0	0.016978
1	small	python	write	none	200000	20000000	29401483	0.458706
1	small	python	read	none	200000	20000000	0	1.028297
2	small	python	write	none	200000	20000000	29401483	0.453043
2	small	python	read	none	200000	20000000	0	1.033298
3	small	python	write	none	200000	20000000	29401483	0.457240
3	small	python	read	none	200000	20000000	0	1.039611
1	small	typescript	write	none	200000	20000000	29401435	0.257625
1	small	typescript	read	none	200000	20000000	0	0.258052
2	small	typescript	write	none	200000	20000000	29401435	0.219266
2	small	typescript	read	none	200000	20000000	0	0.265786
3	small	typescript	write	none	200000	20000000	29401435	0.212105
3	small	typescript	read	none	200000	20000000	0	0.256040
1	large	cpp	write	zstd	2000	100000000	76242	0.057849
1	large	cpp	read	zstd	2000	100000000	0	0.011430
2	large	cpp	write	zstd	2000	100000000	76242	0.057430
2	large	cpp	read	zstd	2000	100000000	0	0.009496
3	large	cpp	write	zstd	2000	100000000	76242	0.057070
3	large	cpp	read	zstd	2000	100000000	0	0.005659
1	large	rust	write	zstd	2000	100000000	75014	0.059315
1	large	rust	read	zstd	2000	100000000	0	0.013290
2	large	rust	write	zstd	2000	100000000	75014	0.059042
2	large	rust	read	zstd	2000	100000000	0	0.012798
3	large	rust	write	zstd	2000	100000000	75014	0.059428
3	large	rust	read	zstd	2000	100000000	0	0.012858
1	large	go	write	zstd	2000	100000000	86469	0.033774
1	large	go	read	zstd	2000	100000000	0	0.016156
2	large	go	write	zstd	2000	100000000	86469	0.033058
2	large	go	read	zstd	2000	100000000	0	0.016994
3	large	go	write	zstd	2000	100000000	86469	0.033593
3	large	go	read	zstd	2000	100000000	0	0.016206
1	large	python	write	zstd	2000	100000000	75154	0.093727
1	large	python	read	zstd	2000	100000000	0	0.021183
2	large	python	write	zstd	2000	100000000	75154	0.092194
2	large	python	read	zstd	2000	100000000	0	0.021630
3	large	python	write	zstd	2000	100000000	75154	0.092640
3	large	python	read	zstd	2000	100000000	0	0.021290
1	large	cpp	write	none	2000	100000000	100098074	0.085858
1	large	cpp	read	none	2000	100000000	0	0.013577
2	large	cpp	write	none	2000	100000000	100098074	0.139352
2	large	cpp	read	none	2000	100000000	0	0.015199
3	large	cpp	write	none	2000	100000000	100098074	0.139852
3	large	cpp	read	none	2000	100000000	0	0.010077
1	large	rust	write	none	2000	100000000	100097938	0.041729
1	large	rust	read	none	2000	100000000	0	0.012559
2	large	rust	write	none	2000	100000000	100097938	0.040159
2	large	rust	read	none	2000	100000000	0	0.012420
3	large	rust	write	none	2000	100000000	100097938	0.040504
3	large	rust	read	none	2000	100000000	0	0.012577
1	large	go	write	none	2000	100000000	100097942	0.045878
1	large	go	read	none	2000	100000000	0	0.026655
2	large	go	write	none	2000	100000000	100097942	0.048423
2	large	go	read	none	2000	100000000	0	0.026144
3	large	go	write	none	2000	100000000	100097942	0.048025
3	large	go	read	none	2000	100000000	0	0.026439
1	large	python	write	none	2000	100000000	100097982	0.142047
1	large	python	read	none	2000	100000000	0	0.031448
2	large	python	write	none	2000	100000000	100097982	0.141132
2	large	python	read	none	2000	100000000	0	0.029663
3	large	python	write	none	2000	100000000	100097982	0.139506
3	large	python	read	none	2000	100000000	0	0.031192
1	large	typescript	write	none	2000	100000000	100097934	0.276514
1	large	typescript	read	none	2000	100000000	0	0.128239
2	large	typescript	write	none	2000	100000000	100097934	0.246775
2	large	typescript	read	none	2000	100000000	0	0.127822
3	large	typescript	write	none	2000	100000000	100097934	0.237135
3	large	typescript	read	none	2000	100000000	0	0.136800
