iter	op	class	chunk_bytes	comp	pattern	msgs	payload_bytes	chunks_touched	chunk_fetched_bytes	summary_bytes	raw_fetched	raw_reads	file_size	wall	rss_kb
1	write	small	262144	zstd	-	2684355	268435500	0	0	0	0	0	199275094	1.939762	5552
2	write	small	262144	zstd	-	2684355	268435500	0	0	0	0	0	199275094	2.174163	5560
3	write	small	262144	zstd	-	2684355	268435500	0	0	0	0	0	199275094	2.106785	5592
1	read	small	262144	zstd	full	2684355	268435500	1342	156117051	117045	199258735	8060	199275094	0.457194	6084
2	read	small	262144	zstd	full	2684355	268435500	1342	156117051	117045	199258735	8060	199275094	0.457258	6028
3	read	small	262144	zstd	full	2684355	268435500	1342	156117051	117045	199258735	8060	199275094	0.451825	5924
4	read	small	262144	zstd	full	2684355	268435500	1342	156117051	117045	199258735	8060	199275094	0.448416	6132
5	read	small	262144	zstd	full	2684355	268435500	1342	156117051	117045	199258735	8060	199275094	0.448333	6064
1	read	small	262144	zstd	point	1	100	1	108079	117045	225135	2696	199275094	0.000465	5736
2	read	small	262144	zstd	point	1	100	1	108079	117045	225135	2696	199275094	0.000455	5716
3	read	small	262144	zstd	point	1	100	1	108079	117045	225135	2696	199275094	0.000439	5844
4	read	small	262144	zstd	point	1	100	1	108079	117045	225135	2696	199275094	0.000437	5888
5	read	small	262144	zstd	point	1	100	1	108079	117045	225135	2696	199275094	0.000440	5764
1	read	small	262144	zstd	range	26843	2684300	14	1632449	117045	2166597	2748	199275094	0.004923	6048
2	read	small	262144	zstd	range	26843	2684300	14	1632449	117045	2166597	2748	199275094	0.004906	5860
3	read	small	262144	zstd	range	26843	2684300	14	1632449	117045	2166597	2748	199275094	0.004923	6004
4	read	small	262144	zstd	range	26843	2684300	14	1632449	117045	2166597	2748	199275094	0.004859	5976
5	read	small	262144	zstd	range	26843	2684300	14	1632449	117045	2166597	2748	199275094	0.004817	5856
1	read	small	262144	zstd	streaming	402653	40265300	202	23517183	117045	30083123	3500	199275094	0.067956	6080
2	read	small	262144	zstd	streaming	402653	40265300	202	23517183	117045	30083123	3500	199275094	0.066483	6076
3	read	small	262144	zstd	streaming	402653	40265300	202	23517183	117045	30083123	3500	199275094	0.066466	6076
4	read	small	262144	zstd	streaming	402653	40265300	202	23517183	117045	30083123	3500	199275094	0.066779	6112
5	read	small	262144	zstd	streaming	402653	40265300	202	23517183	117045	30083123	3500	199275094	0.066950	6076
1	write	small	786432	zstd	-	2684355	268435500	0	0	0	0	0	195363734	1.777047	7112
2	write	small	786432	zstd	-	2684355	268435500	0	0	0	0	0	195363734	1.962530	7008
3	write	small	786432	zstd	-	2684355	268435500	0	0	0	0	0	195363734	2.024972	6920
1	read	small	786432	zstd	full	2684355	268435500	448	152344261	39267	195347375	2696	195363734	0.418126	6572
2	read	small	786432	zstd	full	2684355	268435500	448	152344261	39267	195347375	2696	195363734	0.419096	6372
3	read	small	786432	zstd	full	2684355	268435500	448	152344261	39267	195347375	2696	195363734	0.417200	6680
4	read	small	786432	zstd	full	2684355	268435500	448	152344261	39267	195347375	2696	195363734	0.416792	6568
5	read	small	786432	zstd	full	2684355	268435500	448	152344261	39267	195347375	2696	195363734	0.417115	6696
1	read	small	786432	zstd	point	1	100	1	341534	39267	380812	908	195363734	0.001303	6028
2	read	small	786432	zstd	point	1	100	1	341534	39267	380812	908	195363734	0.001141	6076
3	read	small	786432	zstd	point	1	100	1	341534	39267	380812	908	195363734	0.001275	5964
4	read	small	786432	zstd	point	1	100	1	341534	39267	380812	908	195363734	0.001129	6048
5	read	small	786432	zstd	point	1	100	1	341534	39267	380812	908	195363734	0.001175	6052
1	read	small	786432	zstd	range	26843	2684300	5	1708604	39267	2132346	924	195363734	0.005100	6392
