run,messages,batch_size,plugin_config,avg_byte_throughput,close_time
0,1MiB,1KiB,mcap_default,4087872609.5640354,0.000923183
0,1MiB,1KiB,mcap_compressed_nocrc,1062183646.0144268,0.000792698
0,1MiB,1KiB,mcap_uncompressed_crc,273728524.72064215,0.000748371
0,1MiB,1KiB,mcap_nochunking,2621368552.389844,0.000927518
0,1MiB,1KiB,sqlite_default,2673291159.0210075,0.000308256
0,1MiB,1KiB,sqlite_resilient,1305348486.8485944,0.002251366
0,1MiB,10MiB,mcap_default,3916946565.942235,0.000853444
0,1MiB,10MiB,mcap_compressed_nocrc,1031054227.3281151,0.000834072
0,1MiB,10MiB,mcap_uncompressed_crc,284562154.3968892,0.000724876
0,1MiB,10MiB,mcap_nochunking,2658878644.6707973,0.001018593
0,1MiB,10MiB,sqlite_default,2426771951.2423754,0.0002988
0,1MiB,10MiB,sqlite_resilient,720110293.4291434,0.001058506
0,10KiB,1KiB,mcap_default,6867970742.252795,0.000959976
0,10KiB,1KiB,mcap_compressed_nocrc,6861471071.492741,0.001374139
0,10KiB,1KiB,mcap_uncompressed_crc,290754936.33871025,0.000874612
0,10KiB,1KiB,mcap_nochunking,2918028069.1632586,0.000998099
0,10KiB,1KiB,sqlite_default,580604716.4218807,0.000270304
0,10KiB,1KiB,sqlite_resilient,484325563.8619996,0.001148292
0,10KiB,10MiB,mcap_default,2735237614.642574,0.000943231
0,10KiB,10MiB,mcap_compressed_nocrc,828422450.210757,0.001418805
0,10KiB,10MiB,mcap_uncompressed_crc,273707409.6515772,0.000878572
0,10KiB,10MiB,mcap_nochunking,2779990493.9073505,0.000988936
0,10KiB,10MiB,sqlite_default,1479813779.5606081,0.00026043
0,10KiB,10MiB,sqlite_resilient,504561870.1680502,0.001009602
0,100B,1KiB,mcap_default,92471275.09074444,0.001138631
0,100B,1KiB,mcap_compressed_nocrc,91774220.08398739,0.002074536
0,100B,1KiB,mcap_uncompressed_crc,61815862.5838628,0.001140967
0,100B,1KiB,mcap_nochunking,446214225.6754121,0.001512682
0,100B,1KiB,sqlite_default,44048460.95001274,0.000305262
