run,messages,batch_size,plugin_config,avg_byte_throughput,close_time
0,1MiB,1KiB,mcap_default,1211514738.177632,0.000588939
0,1MiB,1KiB,mcap_compressed_nocrc,495374471.160845,0.000608766
0,1MiB,1KiB,mcap_uncompressed_crc,112697155.5770182,0.000605979
0,1MiB,1KiB,mcap_nochunking,1575375236.0143669,0.000272468
0,1MiB,1KiB,sqlite_default,821300959.4871985,0.000169709
0,1MiB,1KiB,sqlite_resilient,299969114.8621881,0.019865349
0,1MiB,10MiB,mcap_default,1205664268.975092,0.000614635
0,1MiB,10MiB,mcap_compressed_nocrc,487872731.68869704,0.000604852
0,1MiB,10MiB,mcap_uncompressed_crc,112674424.78572977,0.000580511
0,1MiB,10MiB,mcap_nochunking,1569205672.749615,0.00026645
0,1MiB,10MiB,sqlite_default,827072032.7075706,0.000166724
0,1MiB,10MiB,sqlite_resilient,106617954.19286545,0.002271964
0,10KiB,1KiB,mcap_default,2814376522.5269995,0.000975293
0,10KiB,1KiB,mcap_compressed_nocrc,2658827908.5680346,0.001761143
0,10KiB,1KiB,mcap_uncompressed_crc,117816202.77228343,0.001014446
0,10KiB,1KiB,mcap_nochunking,1165366543.0339344,0.000293163
0,10KiB,1KiB,sqlite_default,196194748.0083324,0.000166073
0,10KiB,1KiB,sqlite_resilient,134357743.1806058,0.006779228
0,10KiB,10MiB,mcap_default,1073333403.1106151,0.000940439
0,10KiB,10MiB,mcap_compressed_nocrc,410976864.12660927,0.001753664
0,10KiB,10MiB,mcap_uncompressed_crc,111211912.47009163,0.000991024
0,10KiB,10MiB,mcap_nochunking,1126106230.205806,0.000268676
0,10KiB,10MiB,sqlite_default,612254333.5024974,0.000172213
0,10KiB,10MiB,sqlite_resilient,94571436.66409111,0.002661426
0,100B,1KiB,mcap_default,41002254.049386114,0.001550073
0,100B,1KiB,mcap_compressed_nocrc,40801610.18962324,0.003230934
0,100B,1KiB,mcap_uncompressed_crc,27975506.93833546,0.001498969
0,100B,1KiB,mcap_nochunking,175694300.5080294,0.000339627
0,100B,1KiB,sqlite_default,18061774.496274807,0.000161058
0,100B,1KiB,sqlite_resilient,18863660.84701298,0.013383169
0,100B,10MiB,mcap_default,38610989.412507795,0.001467936
0,100B,10MiB,mcap_compressed_nocrc,32991748.775372244,0.003214484
0,100B,10MiB,mcap_uncompressed_crc,24226988.24629463,0.002537635
0,100B,10MiB,mcap_nochunking,172411175.61981115,0.00026014
0,100B,10MiB,sqlite_default,42455061.15722617,0.000151458
0,100B,10MiB,sqlite_resilient,30984131.363555674,0.002100447
0,mixed,1KiB,mcap_default,214504017.34706166,0.000828677
0,mixed,1KiB,mcap_compressed_nocrc,211627178.37692198,0.001406862
0,mixed,1KiB,mcap_uncompressed_crc,43080796.09462247,0.000896342
0,mixed,1KiB,mcap_nochunking,335170873.88328314,0.000260957
0,mixed,1KiB,sqlite_default,52744641.623195104,0.000141792
0,mixed,1KiB,sqlite_resilient,44011980.51804419,0.012705795
0,mixed,10MiB,mcap_default,306481229.94945633,0.000890287
0,mixed,10MiB,mcap_compressed_nocrc,199921159.31786144,0.001423022
0,mixed,10MiB,mcap_uncompressed_crc,84370825.70018202,0.000828609
0,mixed,10MiB,mcap_nochunking,860711783.6947272,0.000267719
0,mixed,10MiB,sqlite_default,298459630.342914,0.000145077
0,mixed,10MiB,sqlite_resilient,100640011.09992696,0.021132044
1,1MiB,1KiB,mcap_default,1202570053.1722996,0.00059823
1,1MiB,1KiB,mcap_compressed_nocrc,488825720.20069057,0.000637161
1,1MiB,1KiB,mcap_uncompressed_crc,112062005.85775182,0.000570528
1,1MiB,1KiB,mcap_nochunking,1576016219.1598434,0.000272018
1,1MiB,1KiB,sqlite_default,815051992.3884734,0.0001458
1,1MiB,1KiB,sqlite_resilient,293071141.0992871,0.022375634
1,1MiB,10MiB,mcap_default,1197469860.6371527,0.000618807
1,1MiB,10MiB,mcap_compressed_nocrc,484255149.5823925,0.000600038
1,1MiB,10MiB,mcap_uncompressed_crc,112660804.71213844,0.000581204
1,1MiB,10MiB,mcap_nochunking,1536145983.285348,0.000383277
1,1MiB,10MiB,sqlite_default,815294437.3488415,0.000149755
1,1MiB,10MiB,sqlite_resilient,116723227.86979006,0.002846778
1,10KiB,1KiB,mcap_default,2820743229.085291,0.00100619
1,10KiB,1KiB,mcap_compressed_nocrc,2693032966.002211,0.001792041
1,10KiB,1KiB,mcap_uncompressed_crc,117897009.81601793,0.000979817
1,10KiB,1KiB,mcap_nochunking,1169157112.095486,0.000299405
1,10KiB,1KiB,sqlite_default,194651999.48138732,0.000161128
1,10KiB,1KiB,sqlite_resilient,132154154.9526248,0.006467241
1,10KiB,10MiB,mcap_default,1064313377.166614,0.000960834
1,10KiB,10MiB,mcap_compressed_nocrc,411606985.7008027,0.001793822
1,10KiB,10MiB,mcap_uncompressed_crc,102572154.5956135,0.001133522
1,10KiB,10MiB,mcap_nochunking,1108565746.7046728,0.000269074
1,10KiB,10MiB,sqlite_default,618648632.164627,0.000151874
1,10KiB,10MiB,sqlite_resilient,96758129.13833289,0.005671238
1,100B,1KiB,mcap_default,40960908.99917659,0.001558757
1,100B,1KiB,mcap_compressed_nocrc,40796792.73399513,0.00321345
1,100B,1KiB,mcap_uncompressed_crc,28036546.672752436,0.001524094
1,100B,1KiB,mcap_nochunking,175238483.02956724,0.000341165
1,100B,1KiB,sqlite_default,17980368.90725491,0.000210613
1,100B,1KiB,sqlite_resilient,18574655.793242633,0.013268368
1,100B,10MiB,mcap_default,38607262.52921073,0.001474896
1,100B,10MiB,mcap_compressed_nocrc,33320891.23454375,0.0031311
1,100B,10MiB,mcap_uncompressed_crc,26762544.278367642,0.00147151
1,100B,10MiB,mcap_nochunking,173075704.0412387,0.000273316
1,100B,10MiB,sqlite_default,42506408.154224604,0.000149217
1,100B,10MiB,sqlite_resilient,29933019.34050494,0.002762213
1,mixed,1KiB,mcap_default,215515828.76811257,0.000841337
1,mixed,1KiB,mcap_compressed_nocrc,208906031.32144773,0.001402777
1,mixed,1KiB,mcap_uncompressed_crc,43195591.95669449,0.000886999
1,mixed,1KiB,mcap_nochunking,340498209.7186335,0.000295368
1,mixed,1KiB,sqlite_default,53405064.561050884,0.000165294
1,mixed,1KiB,sqlite_resilient,43461734.869967036,0.012779669
1,mixed,10MiB,mcap_default,310871313.6080788,0.000846081
1,mixed,10MiB,mcap_compressed_nocrc,200894107.43947938,0.001441582
1,mixed,10MiB,mcap_uncompressed_crc,85198587.46436054,0.000863977
1,mixed,10MiB,mcap_nochunking,878294111.6270723,0.000293725
1,mixed,10MiB,sqlite_default,303109160.7281885,0.000148115
1,mixed,10MiB,sqlite_resilient,103332962.66147381,0.019433071
2,1MiB,1KiB,mcap_default,1237608229.1159868,0.000610583
2,1MiB,1KiB,mcap_compressed_nocrc,494969427.06255174,0.000616417
2,1MiB,1KiB,mcap_uncompressed_crc,113053347.99811465,0.000656207
2,1MiB,1KiB,mcap_nochunking,1633275541.9569669,0.000286557
2,1MiB,1KiB,sqlite_default,829412704.1769377,0.000176945
2,1MiB,1KiB,sqlite_resilient,305376382.9983915,0.021147374
2,1MiB,10MiB,mcap_default,1228853039.4569368,0.000586328
2,1MiB,10MiB,mcap_compressed_nocrc,486411709.7194725,0.000605504
2,1MiB,10MiB,mcap_uncompressed_crc,113034781.31829038,0.000579999
2,1MiB,10MiB,mcap_nochunking,1608603067.192818,0.000273409
2,1MiB,10MiB,sqlite_default,830170665.4970598,0.000145846
2,1MiB,10MiB,sqlite_resilient,115370582.79074782,0.002308581
2,10KiB,1KiB,mcap_default,2826106455.064749,0.000962418
2,10KiB,1KiB,mcap_compressed_nocrc,2684620923.7039957,0.00175643
2,10KiB,1KiB,mcap_uncompressed_crc,117939173.21335123,0.001047575
2,10KiB,1KiB,mcap_nochunking,1197698363.2934456,0.000267526
2,10KiB,1KiB,sqlite_default,198863923.65283,0.000207913
2,10KiB,1KiB,sqlite_resilient,132068237.55499458,0.006352056
2,10KiB,10MiB,mcap_default,1101757557.8711865,0.001016528
2,10KiB,10MiB,mcap_compressed_nocrc,413231581.49657005,0.001715344
2,10KiB,10MiB,mcap_uncompressed_crc,111627263.87984914,0.001045126
2,10KiB,10MiB,mcap_nochunking,1160873255.9070327,0.000288706
2,10KiB,10MiB,sqlite_default,614298136.7783644,0.000147084
2,10KiB,10MiB,sqlite_resilient,97701333.58602762,0.002502032
2,100B,1KiB,mcap_default,40234207.18101074,0.001521682
2,100B,1KiB,mcap_compressed_nocrc,41115905.90581975,0.003225114
2,100B,1KiB,mcap_uncompressed_crc,27883870.058779422,0.001520975
2,100B,1KiB,mcap_nochunking,175772621.4883758,0.000289326
2,100B,1KiB,sqlite_default,17944624.414115604,0.000172289
2,100B,1KiB,sqlite_resilient,19107777.336381763,0.013927551
2,100B,10MiB,mcap_default,38480488.37167407,0.001452875
2,100B,10MiB,mcap_compressed_nocrc,33283542.03414275,0.003192467
2,100B,10MiB,mcap_uncompressed_crc,26644013.95815342,0.001429637
2,100B,10MiB,mcap_nochunking,173972335.6976925,0.000257845
2,100B,10MiB,sqlite_default,43163484.19679233,0.00015229
2,100B,10MiB,sqlite_resilient,31403344.714801792,0.001961092
2,mixed,1KiB,mcap_default,220531440.10533965,0.000821685
2,mixed,1KiB,mcap_compressed_nocrc,210506148.75047225,0.00141842
2,mixed,1KiB,mcap_uncompressed_crc,43419987.17392397,0.000841944
2,mixed,1KiB,mcap_nochunking,343837097.0573782,0.000267394
2,mixed,1KiB,sqlite_default,54265446.00345855,0.000141983
2,mixed,1KiB,sqlite_resilient,45212294.14026681,0.011565592
2,mixed,10MiB,mcap_default,316665705.3817467,0.000829128
2,mixed,10MiB,mcap_compressed_nocrc,201294722.41183212,0.001440945
2,mixed,10MiB,mcap_uncompressed_crc,85670177.35044126,0.000815417
2,mixed,10MiB,mcap_nochunking,897399044.4567696,0.000269712
2,mixed,10MiB,sqlite_default,308684522.23499894,0.000148339
2,mixed,10MiB,sqlite_resilient,100687847.42284232,0.020565946
