run,messages,batch_size,plugin_config,avg_byte_throughput,close_time
0,1MiB,1KiB,mcap_default,5314706820.961873,0.000823992
0,1MiB,1KiB,mcap_compressed_nocrc,627076954.934945,0.000783739
0,1MiB,1KiB,mcap_uncompressed_crc,292637742.9092637,0.000743321
0,1MiB,1KiB,mcap_nochunking,3806369550.752184,0.000983955
0,1MiB,1KiB,sqlite_default,3404996796.0767803,0.000286803
0,1MiB,1KiB,sqlite_resilient,1669331762.3364506,0.00122913
0,1MiB,10MiB,mcap_default,5440511160.800258,0.006682167
0,1MiB,10MiB,mcap_compressed_nocrc,561074541.8892522,0.000817322
0,1MiB,10MiB,mcap_uncompressed_crc,289041655.85359305,0.000721527
0,1MiB,10MiB,mcap_nochunking,4055501318.5035515,0.001010495
0,1MiB,10MiB,sqlite_default,3162515363.525142,0.000353471
0,1MiB,10MiB,sqlite_resilient,1213279910.8960361,0.000804403
0,10KiB,1KiB,mcap_default,6664741085.867784,0.001086496
0,10KiB,1KiB,mcap_compressed_nocrc,6762852563.187589,0.001470718
0,10KiB,1KiB,mcap_uncompressed_crc,288380281.840635,0.000807236
0,10KiB,1KiB,mcap_nochunking,3773327452.0948114,0.000952448
0,10KiB,1KiB,sqlite_default,605012106.2438381,0.000261759
0,10KiB,1KiB,sqlite_resilient,579692676.0088115,0.000510684
0,10KiB,10MiB,mcap_default,3249292918.6553974,0.001196622
0,10KiB,10MiB,mcap_compressed_nocrc,520875929.69338435,0.001438338
0,10KiB,10MiB,mcap_uncompressed_crc,276002791.1765075,0.001027658
0,10KiB,10MiB,mcap_nochunking,3434654163.707733,0.001290999
0,10KiB,10MiB,sqlite_default,1854893449.3013043,0.000284925
0,10KiB,10MiB,sqlite_resilient,713779945.0611972,0.00076594
0,100B,1KiB,mcap_default,90922104.51587534,0.001127408
0,100B,1KiB,mcap_compressed_nocrc,90009387.8427851,0.002055975
0,100B,1KiB,mcap_uncompressed_crc,60557798.32170485,0.001269035
0,100B,1KiB,mcap_nochunking,462036640.3203877,0.001017861
0,100B,1KiB,sqlite_default,42817486.59697765,0.000254006
0,100B,1KiB,sqlite_resilient,46290140.39578967,0.000821562
0,100B,10MiB,mcap_default,85863215.2277321,0.001284115
0,100B,10MiB,mcap_compressed_nocrc,71920000.29281847,0.002269221
0,100B,10MiB,mcap_uncompressed_crc,59008278.783132404,0.001171777
0,100B,10MiB,mcap_nochunking,467492363.3318309,0.001273237
0,100B,10MiB,sqlite_default,83883720.94204226,0.000360591
0,100B,10MiB,sqlite_resilient,76308919.82904716,0.000905353
0,mixed,1KiB,mcap_default,488475226.4956754,0.00084381
0,mixed,1KiB,mcap_compressed_nocrc,459482352.8966596,0.00132282
0,mixed,1KiB,mcap_uncompressed_crc,97571576.65493336,0.000777474
0,mixed,1KiB,mcap_nochunking,910416003.7446507,0.000987271
0,mixed,1KiB,sqlite_default,144853008.39753085,0.000256255
0,mixed,1KiB,sqlite_resilient,137831229.6210432,0.001010603
0,mixed,10MiB,mcap_default,770140778.1326808,0.000810391
0,mixed,10MiB,mcap_compressed_nocrc,335511395.2683995,0.001287609
0,mixed,10MiB,mcap_uncompressed_crc,205939336.39389363,0.00076564
0,mixed,10MiB,mcap_nochunking,2185913304.4446454,0.000930101
0,mixed,10MiB,sqlite_default,701637569.2604821,0.000340673
0,mixed,10MiB,sqlite_resilient,464193563.24933493,0.001546737
1,1MiB,1KiB,mcap_default,5583992817.587335,0.000811765
1,1MiB,1KiB,mcap_compressed_nocrc,632506274.6770748,0.000817641
1,1MiB,1KiB,mcap_uncompressed_crc,285797867.5199976,0.000701013
1,1MiB,1KiB,mcap_nochunking,3788734134.4500885,0.000977309
1,1MiB,1KiB,sqlite_default,3407071237.4939723,0.000276797
1,1MiB,1KiB,sqlite_resilient,1712210858.3440874,0.001081269
1,1MiB,10MiB,mcap_default,5487842646.912937,0.000760597
1,1MiB,10MiB,mcap_compressed_nocrc,572410498.7243942,0.000801805
1,1MiB,10MiB,mcap_uncompressed_crc,285461681.4806728,0.000741471
1,1MiB,10MiB,mcap_nochunking,3725770662.729109,0.000955808
1,1MiB,10MiB,sqlite_default,3067745757.1436977,0.000288963
1,1MiB,10MiB,sqlite_resilient,1253322822.8473597,0.000705803
1,10KiB,1KiB,mcap_default,6831410072.798761,0.000948891
1,10KiB,1KiB,mcap_compressed_nocrc,6716864684.044909,0.001701612
1,10KiB,1KiB,mcap_uncompressed_crc,286838602.292701,0.000835389
1,10KiB,1KiB,mcap_nochunking,3853991464.3920264,0.000993724
1,10KiB,1KiB,sqlite_default,580852099.9665276,0.000268712
1,10KiB,1KiB,sqlite_resilient,598699318.1399022,0.000461799
1,10KiB,10MiB,mcap_default,3414359905.4167333,0.000922015
1,10KiB,10MiB,mcap_compressed_nocrc,514131245.97201353,0.001498274
1,10KiB,10MiB,mcap_uncompressed_crc,276849590.0567991,0.000932682
1,10KiB,10MiB,mcap_nochunking,3421208959.0318255,0.001242144
1,10KiB,10MiB,sqlite_default,1718440096.2712977,0.000307588
1,10KiB,10MiB,sqlite_resilient,674667163.9571857,0.000867721
1,100B,1KiB,mcap_default,90919144.09914888,0.001162018
1,100B,1KiB,mcap_compressed_nocrc,89847145.4846189,0.002107197
1,100B,1KiB,mcap_uncompressed_crc,60282999.53581149,0.001278643
1,100B,1KiB,mcap_nochunking,463135834.024367,0.001115432
1,100B,1KiB,sqlite_default,43121250.98842801,0.000257961
1,100B,1KiB,sqlite_resilient,45876397.3235857,0.00080076
1,100B,10MiB,mcap_default,86661619.4397933,0.001215016
1,100B,10MiB,mcap_compressed_nocrc,71883097.08607124,0.002421573
1,100B,10MiB,mcap_uncompressed_crc,58625164.146305695,0.001034304
1,100B,10MiB,mcap_nochunking,460321728.43582916,0.001052722
1,100B,10MiB,sqlite_default,82573865.97527458,0.00041538
1,100B,10MiB,sqlite_resilient,72183559.0962924,0.000967554
1,mixed,1KiB,mcap_default,489089625.72173774,0.001046429
1,mixed,1KiB,mcap_compressed_nocrc,458772453.7166797,0.001353142
1,mixed,1KiB,mcap_uncompressed_crc,95923189.6339973,0.000878802
1,mixed,1KiB,mcap_nochunking,906093437.8220158,0.000962178
1,mixed,1KiB,sqlite_default,146118456.81013185,0.000325712
1,mixed,1KiB,sqlite_resilient,133674922.97279808,0.000864427
1,mixed,10MiB,mcap_default,770179409.8437047,0.000860551
1,mixed,10MiB,mcap_compressed_nocrc,334207263.41889304,0.001565102
1,mixed,10MiB,mcap_uncompressed_crc,206064206.8424728,0.000735383
1,mixed,10MiB,mcap_nochunking,2217398588.253248,0.000731383
1,mixed,10MiB,sqlite_default,704942716.6904869,0.000269878
1,mixed,10MiB,sqlite_resilient,464003900.5331314,0.001547434
2,1MiB,1KiB,mcap_default,5585713355.603551,0.0007998
2,1MiB,1KiB,mcap_compressed_nocrc,630252216.0996755,0.000760134
2,1MiB,1KiB,mcap_uncompressed_crc,286044817.28911614,0.000685383
2,1MiB,1KiB,mcap_nochunking,3798582310.6666517,0.000979469
2,1MiB,1KiB,sqlite_default,3304134382.9857287,0.000301461
2,1MiB,1KiB,sqlite_resilient,1700634112.9631002,0.001170511
2,1MiB,10MiB,mcap_default,5498587694.85212,0.000805287
2,1MiB,10MiB,mcap_compressed_nocrc,560616815.1442457,0.000998287
